Aug 04 2022 18:19:10.830 [DEBUG] timeliner.TimelineSlider       value = 76285
Aug 04 2022 18:19:10.832 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.833 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.833 [DEBUG] timeliner.TimelineSlider       value = 76546
Aug 04 2022 18:19:10.841 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.841 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.841 [DEBUG] timeliner.TimelineSlider       value = 76676
Aug 04 2022 18:19:10.842 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.842 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.842 [DEBUG] timeliner.TimelineSlider       value = 76937
Aug 04 2022 18:19:10.850 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.851 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.851 [DEBUG] timeliner.TimelineSlider       value = 77198
Aug 04 2022 18:19:10.859 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.859 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.859 [DEBUG] timeliner.TimelineSlider       value = 77328
Aug 04 2022 18:19:10.869 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.869 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.869 [DEBUG] timeliner.TimelineSlider       value = 77589
Aug 04 2022 18:19:10.870 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.870 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.870 [DEBUG] timeliner.TimelineSlider       value = 77719
Aug 04 2022 18:19:10.879 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.879 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.879 [DEBUG] timeliner.TimelineSlider       value = 77980
Aug 04 2022 18:19:10.888 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.888 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.888 [DEBUG] timeliner.TimelineSlider       value = 78241
Aug 04 2022 18:19:10.897 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.897 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.897 [DEBUG] timeliner.TimelineSlider       value = 78371
Aug 04 2022 18:19:10.899 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.899 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.899 [DEBUG] timeliner.TimelineSlider       value = 78502
Aug 04 2022 18:19:10.907 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.907 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:10.907 [DEBUG] timeliner.TimelineSlider       value = 78632
Aug 04 2022 18:19:10.917 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:10.917 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
